Movie_Name,Rating,Genre,Year,Rating_Score,Votes,Director,Star,Country,Budget,Gross,Company,Release_date
Worth Winning,PG-13,Comedy,1989,5.8,1600,Will Mackenzie,Mark Harmon,United States,20500000,3690328,A&M Films,27/10/1989
Edge of Sanity,R,Horror,1989,5.2,1300,Gérard Kikoïne,Anthony Perkins,United Kingdom,20500000,20205757,Allied Vision,14/04/1989
Brenda Starr,PG,Adventure,1989,4.8,1000,Robert Ellis Miller,Brooke Shields,United States,16000000,67878,AM/PM Entertainment,15/04/1992
How I Got Into College,PG-13,Comedy,1989,5.8,2100,Savage Steve Holland,Anthony Edwards,United States,10000000,1642239,Twentieth Century Fox,19/05/1989
Mortal Passions,R,Crime,1989,4.5,274,Andrew Lane,Zach Galligan,United States,20500000,20205757,Gibraltar Entertainment,26/01/1990
Old Gringo,R,Adventure,1989,5.8,1800,Luis Puenzo,Jane Fonda,United States,34000000,3574256,Columbia Pictures,06/10/1989
Relentless,R,Crime,1989,5.9,1400,William Lustig,Judd Nelson,United States,4000000,6985999,Cinetel Films,30/08/1989
Cheetah,G,Adventure,1989,6,943,Jeff Blyth,Keith Coogan,United States,5000000,8153677,Silver Screen Partners III,18/08/1989
Prancer,G,Drama,1989,6.4,4800,John D. Hancock,Sam Elliott,United States,20500000,18587135,Cineplex Odeon Films,17/11/1989
Getting It Right,R,Comedy,1989,6.4,659,Randal Kleiser,Jesse Birdsall,United Kingdom,20500000,960385,Management Company Entertainment Group (MCEG),05/05/1989
Rude Awakening,R,Comedy,1989,4.8,1200,David Greenwalt,Cheech Marin,United States,10000000,3169719,Aaron Russo Entertainment,16/08/1989
Cookie,R,Comedy,1989,5.4,1200,Susan Seidelman,Peter Falk,United States,20500000,1869417,Lorimar Film Entertainment,23/08/1989
Bloodhounds of Broadway,PG,Comedy,1989,5.5,1200,Howard Brookner,Josef Sommer,United States,4000000,43671,American Playhouse Theatrical Films,03/11/1989
The Toxic Avenger Part III: The Last Temptation of Toxie,R,Action,1989,4.4,4300,Michael Herz,Ron Fazio,United States,20500000,363561,Troma Entertainment,24/11/1989
River of Death,R,Action,1989,4.3,1100,Steve Carver,Michael Dudikoff,United States,20500000,20205757,Breton Film Productions,29/09/1989
Fast Food,PG-13,Comedy,1989,4.5,653,Michael A. Simpson,Clark Brandon,United States,20500000,20205757,Double Helix Films,28/04/1989
Martians Go Home,PG-13,Comedy,1989,3.1,666,David Odell,Randy Quaid,United States,20500000,129778,Edward R. Pressman Productions,20/04/1990
Night Game,R,Crime,1989,4.9,710,Peter Masterson,Roy Scheider,United States,20500000,337812,Epic Productions,15/09/1989
Romero,PG-13,Biography,1989,7.2,2100,John Duigan,Raul Julia,United States,20500000,1316495,Paulist Pictures,25/08/1989
84C MoPic,R,Drama,1989,6.9,1700,Patrick Sheane Duncan,Jonathan Emerson,United States,20500000,20205757,Charlie Mopic,07/04/1989
True Love,R,Comedy,1989,6,696,Nancy Savoca,Annabella Sciorra,United States,20500000,1354268,United Artists,15/09/1989
Second Sight,PG,Comedy,1989,4.4,1300,Joel Zwick,John Larroquette,United States,20500000,5368865,Lorimar Film Entertainment,03/11/1989
A Chorus of Disapproval,PG,Comedy,1989,5.6,776,Michael Winner,Jeremy Irons,United Kingdom,20500000,216373,Curzon Films,03/11/1989
The Lemon Sisters,PG-13,Comedy,1989,5,694,Joyce Chopra,Diane Keaton,United States,9000000,3473905,Lightyear Entertainment,31/08/1990
Breaking In,R,Adventure,1989,6.1,1400,Bill Forsyth,Burt Reynolds,United States,6000000,1877618,Act III Communications,13/10/1989
Crack House,R,Action,1989,5.5,353,Michael Fischa,Jim Brown,United States,20500000,862551,Silverman Entertainment,10/11/1989
Goodfellas,R,Biography,1990,8.7,1100000,Martin Scorsese,Robert De Niro,United States,25000000,46963277,Warner Bros.,21/09/1990
The Godfather: Part III,R,Crime,1990,7.6,370000,Francis Ford Coppola,Al Pacino,United States,54000000,136861392,Paramount Pictures,25/12/1990
Total Recall,R,Action,1990,7.5,310000,Paul Verhoeven,Arnold Schwarzenegger,United States,65000000,261317921,Carolco Pictures,01/06/1990
Pretty Woman,R,Comedy,1990,7,299000,Garry Marshall,Richard Gere,United States,14000000,463406268,Touchstone Pictures,23/03/1990
Home Alone,PG,Comedy,1990,7.6,501000,Chris Columbus,Macaulay Culkin,United States,18000000,476684675,Hughes Entertainment,16/11/1990
Ghost,PG-13,Drama,1990,7.1,203000,Jerry Zucker,Patrick Swayze,United States,22000000,505703557,Paramount Pictures,13/07/1990
Dances with Wolves,PG-13,Adventure,1990,8,247000,Kevin Costner,Kevin Costner,United States,22000000,424208848,Tig Productions,21/11/1990
Tremors,PG-13,Comedy,1990,7.1,126000,Ron Underwood,Kevin Bacon,United States,11000000,16667084,Universal Pictures,19/01/1990
Die Hard 2,R,Action,1990,7.1,344000,Renny Harlin,Bruce Willis,United States,70000000,240031274,Twentieth Century Fox,03/07/1990
Misery,R,Drama,1990,7.8,191000,Rob Reiner,James Caan,United States,20000000,61276872,Castle Rock Entertainment,30/11/1990
Kindergarten Cop,PG-13,Action,1990,6.2,140000,Ivan Reitman,Arnold Schwarzenegger,United States,15000000,201957688,Universal Pictures,21/12/1990
The Bonfire of the Vanities,R,Comedy,1990,5.6,22000,Brian De Palma,Tom Hanks,United States,47000000,15691192,Warner Bros.,21/12/1990
Teenage Mutant Ninja Turtles,PG,Action,1990,6.8,88000,Steve Barron,Judith Hoag,United States,13500000,201965915,888 Productions,30/03/1990
Edward Scissorhands,PG-13,Drama,1990,7.9,456000,Tim Burton,Johnny Depp,United States,20000000,86024005,Twentieth Century Fox,14/12/1990
The Hunt for Red October,PG,Action,1990,7.6,186000,John McTiernan,Sean Connery,United States,30000000,200512643,Paramount Pictures,02/03/1990
Dick Tracy,PG,Action,1990,6.1,59000,Warren Beatty,Warren Beatty,United States,47000000,162738726,Touchstone Pictures,15/06/1990
Awakenings,PG-13,Biography,1990,7.8,130000,Penny Marshall,Robert De Niro,United States,31000000,52096475,Columbia Pictures,11/01/1991
The Handmaid's Tale,R,Drama,1990,6,9100,Volker Schlöndorff,Natasha Richardson,United States,20500000,4960385,Bioskop Film,09/03/1990
Wild at Heart,R,Comedy,1990,7.2,86000,David Lynch,Nicolas Cage,United States,9500000,14561425,PolyGram Filmed Entertainment,17/08/1990
Predator 2,R,Action,1990,6.3,151000,Stephen Hopkins,Danny Glover,United States,35000000,57120318,Davis Entertainment,21/11/1990
RoboCop 2,R,Action,1990,5.8,83000,Irvin Kershner,Peter Weller,United States,25000000,45681173,Orion Pictures,22/06/1990
The Witches,PG,Adventure,1990,6.9,46000,Nicolas Roeg,Anjelica Huston,United Kingdom,20500000,10360553,Lorimar Film Entertainment,24/08/1990
Jacob's Ladder,R,Drama,1990,7.5,101000,Adrian Lyne,Tim Robbins,United States,25000000,26118851,Carolco Pictures,02/11/1990
Back to the Future Part III,PG,Adventure,1990,7.4,416000,Robert Zemeckis,Michael J. Fox,United States,40000000,245077583,Universal Pictures,25/05/1990
Darkman,R,Action,1990,6.4,60000,Sam Raimi,Liam Neeson,United States,14000000,48878502,Renaissance Pictures,24/08/1990
The Hot Spot,R,Crime,1990,6.4,11000,Dennis Hopper,Don Johnson,United States,13000000,1293976,Orion Pictures,26/10/1990
Cry-Baby,PG-13,Comedy,1990,6.5,57000,John Waters,Johnny Depp,United States,11000000,8266343,Universal Pictures,06/04/1990
Presumed Innocent,R,Mystery,1990,6.9,39000,Alan J. Pakula,Harrison Ford,United States,22000000,221303188,Warner Bros.,27/07/1990
Arachnophobia,PG-13,Comedy,1990,6.4,65000,Frank Marshall,Jeff Daniels,United States,22000000,53208180,Hollywood Pictures,18/07/1990
Days of Thunder,PG-13,Action,1990,6.1,81000,Tony Scott,Tom Cruise,United States,60000000,157920733,Don Simpson/Jerry Bruckheimer Films,27/06/1990
King of New York,R,Crime,1990,7,34000,Abel Ferrara,Christopher Walken,Italy,5300000,2554476,Reteitalia,05/01/1991
Gremlins 2: The New Batch,PG-13,Comedy,1990,6.4,95000,Joe Dante,Zach Galligan,United States,50000000,41482207,Warner Bros.,15/06/1990
Rocky V,PG-13,Drama,1990,5.3,130000,John G. Avildsen,Sylvester Stallone,United States,42000000,119946358,United Artists,16/11/1990
Young Guns II,PG-13,Action,1990,6.5,32000,Geoff Murphy,Emilio Estevez,United States,20000000,44143410,Morgan Creek Entertainment,01/08/1990
Miller's Crossing,R,Crime,1990,7.7,128000,Joel Coen,Gabriel Byrne,United States,14000000,5080409,Circle Films,05/10/1990
Revenge,R,Action,1990,6.2,17000,Tony Scott,Kevin Costner,United States,22000000,15645616,New World Pictures,16/02/1990
Lord of the Flies,R,Adventure,1990,6.4,28000,Harry Hook,Balthazar Getty,United States,20500000,13985225,Castle Rock Entertainment,16/03/1990
Mermaids,PG-13,Comedy,1990,6.7,30000,Richard Benjamin,Cher,United States,20000000,35419397,Orion Pictures,14/12/1990
Child's Play 2,R,Horror,1990,5.9,47000,John Lafia,Alex Vincent,United States,13000000,35763605,Universal Pictures,09/11/1990
Joe Versus the Volcano,PG,Comedy,1990,5.8,35000,John Patrick Shanley,Tom Hanks,United States,25000000,39404261,Warner Bros.,09/03/1990
Slacker,R,Comedy,1990,7.1,20000,Richard Linklater,Richard Linklater,United States,23000,1228108,Detour Filmproduction,05/07/1991
Flatliners,R,Drama,1990,6.6,82000,Joel Schumacher,Kiefer Sutherland,United States,26000000,61489265,Columbia Pictures,10/08/1990
Days of Being Wild,Not Rated,Crime,1990,7.5,19000,Kar-Wai Wong,Leslie Cheung,Hong Kong,20500000,3106052,In-Gear Film,15/12/1990
The Exorcist III,R,Drama,1990,6.4,27000,William Peter Blatty,George C. Scott,United States,20500000,39024251,Morgan Creek Entertainment,17/08/1990
Quigley Down Under,PG-13,Action,1990,6.9,21000,Simon Wincer,Tom Selleck,Australia,20000000,21413105,Pathé Entertainment,19/10/1990
Nightbreed,R,Action,1990,6.5,21000,Clive Barker,Craig Sheffer,United States,11000000,8862354,Morgan Creek Entertainment,16/02/1990
The Two Jakes,R,Crime,1990,6.2,12000,Jack Nicholson,Jack Nicholson,United States,19000000,10005969,88 Productions,10/08/1990
Lionheart,R,Action,1990,6.2,34000,Sheldon Lettich,Jean-Claude Van Damme,United States,6000000,24271196,Imperial Entertainment Corporation,11/01/1991
Internal Affairs,R,Crime,1990,6.5,18000,Mike Figgis,Richard Gere,United States,15000000,27734391,Paramount Pictures,12/01/1990
Three Men and a Little Lady,PG,Comedy,1990,5.5,23000,Emile Ardolino,Tom Selleck,United States,20500000,71609321,Touchstone Pictures,21/11/1990
Problem Child,PG,Comedy,1990,5.4,29000,Dennis Dugan,Michael Oliver,United States,10000000,72270891,Universal Pictures,27/07/1990
The Grifters,R,Crime,1990,6.9,26000,Stephen Frears,Anjelica Huston,United States,20500000,13446769,Cineplex Odeon Films,25/01/1991
My Blue Heaven,PG-13,Comedy,1990,6.3,19000,Herbert Ross,Steve Martin,United States,20500000,23591472,Hawn / Sylbert Movie Company,17/08/1990
The Rescuers Down Under,G,Animation,1990,6.9,40000,Hendel Butoy,Bob Newhart,United States,30000000,27931461,Silver Screen Partners IV,16/11/1990
House Party,R,Comedy,1990,6.5,14000,Reginald Hudlin,Christopher Reid,United States,2500000,26385627,"Jackson/McHenry Company,The",09/03/1990
Another 48 Hrs.,R,Action,1990,5.9,40000,Walter Hill,Eddie Murphy,United States,38000000,153518974,Paramount Pictures,08/06/1990
Night of the Living Dead,R,Horror,1990,6.9,40000,Tom Savini,Tony Todd,United States,4200000,5835247,21st Century Film Corporation,19/10/1990
Pacific Heights,R,Thriller,1990,6.4,19000,John Schlesinger,Melanie Griffith,United States,18000000,44926706,Morgan Creek Entertainment,28/09/1990
Postcards from the Edge,R,Comedy,1990,6.7,16000,Mike Nichols,Meryl Streep,United States,22000000,39071603,Columbia Pictures,14/09/1990
Henry & June,NC-17,Biography,1990,6.3,13000,Philip Kaufman,Fred Ward,United States,20500000,23472449,Universal Pictures,05/10/1990
Hard to Kill,R,Action,1990,5.8,28000,Bruce Malmuth,Steven Seagal,United States,10000000,47410827,Warner Bros.,09/02/1990
Pump Up the Volume,R,Comedy,1990,7.2,27000,Allan Moyle,Christian Slater,Canada,20500000,11541758,New Line Cinema,22/08/1990
Hamlet,PG,Drama,1990,6.7,22000,Franco Zeffirelli,Mel Gibson,United States,20500000,20710451,Icon Productions,18/01/1991
The NeverEnding Story II: The Next Chapter,PG,Adventure,1990,5.2,25000,George Miller,Jonathan Brandis,Germany,36000000,17373527,Warner Bros.,08/02/1991
Men at Work,PG-13,Action,1990,6,23000,Emilio Estevez,Charlie Sheen,United States,20500000,16247964,Epic Productions,24/08/1990
Leatherface: Texas Chainsaw Massacre III,R,Horror,1990,5.1,15000,Jeff Burr,Kate Hodge,United States,2000000,5765562,Nicolas Entertainment,12/01/1990
Reversal of Fortune,R,Biography,1990,7.2,15000,Barbet Schroeder,Jeremy Irons,United States,20500000,15445131,Sovereign Pictures,09/11/1990
Frankenhooker,R,Comedy,1990,6.2,9400,Frank Henenlotter,James Lorinz,United States,2500000,205068,Levins-Henenlotter,01/06/1990
State of Grace,R,Action,1990,7.2,21000,Phil Joanou,Sean Penn,United Kingdom,18000000,1911542,Cinehaus,14/09/1990
Bird on a Wire,PG-13,Action,1990,6,42000,John Badham,Mel Gibson,United States,20000000,138697012,Universal Pictures,18/05/1990
Memphis Belle,PG-13,Action,1990,6.9,27000,Michael Caton-Jones,Matthew Modine,United Kingdom,23000000,27441977,Enigma Productions,12/10/1990
The Adventures of Ford Fairlane,R,Action,1990,6.4,17000,Renny Harlin,Andrew Dice Clay,United States,20000000,21413502,Twentieth Century Fox,11/07/1990
Marked for Death,R,Action,1990,6,21000,Dwight H. Little,Steven Seagal,United States,12000000,57968936,Victor & Grais,05/10/1990
Slumber Party Massacre III,R,Comedy,1990,4.6,2500,Sally Mattison,Keely Christian,United States,350000,1242995,Concorde Pictures,07/09/1990
Dreams,PG,Drama,1990,7.8,25000,Akira Kurosawa,Akira Terao,Japan,12000000,2970161,Warner Bros.,24/08/1990
Air America,R,Action,1990,5.8,27000,Roger Spottiswoode,Mel Gibson,United States,35000000,33461269,Carolco Pictures,10/08/1990
I Love You to Death,R,Comedy,1990,6.4,14000,Lawrence Kasdan,Kevin Kline,United States,20500000,16186793,Chestnut Hill Productions,06/04/1990
Class of 1999,R,Action,1990,5.9,7000,Mark L. Lester,Bradley Gregg,United States,5200000,2459895,Lightning Pictures,11/05/1990
Death Warrant,R,Action,1990,5.7,18000,Deran Sarafian,Jean-Claude Van Damme,United States,4000000,16853487,Cannon Films,14/09/1990
White Palace,R,Drama,1990,6.5,7700,Luis Mandoki,Susan Sarandon,United States,20500000,17487531,Universal Pictures,26/10/1990
Close-Up,Not Rated,Biography,1990,8.3,17000,Abbas Kiarostami,Hossain Sabzian,Iran,20500000,20205757,Kanun parvaresh fekri,30/10/1991
Quick Change,R,Comedy,1990,6.8,20000,Howard Franklin,Bill Murray,United States,15000000,15260154,Devoted Productions,13/07/1990
Hardware,R,Sci-Fi,1990,6,13000,Richard Stanley,Dylan McDermott,United Kingdom,1500000,5728953,Palace Pictures,14/09/1990
Mr. Destiny,PG-13,Comedy,1990,6.4,12000,James Orr,Jim Belushi,United States,20000000,15379253,Laurence Mark Productions,12/10/1990
The Freshman,PG,Comedy,1990,6.5,19000,Andrew Bergman,Marlon Brando,United States,12000000,21460601,TriStar Pictures,27/07/1990
Blue Steel,R,Action,1990,5.7,13000,Kathryn Bigelow,Jamie Lee Curtis,United States,20500000,8217997,Lightning Pictures,16/03/1990
The Krays,R,Biography,1990,6.6,7900,Peter Medak,Gary Kemp,United Kingdom,20500000,2060847,Fugitive TV Productions,09/11/1990
Navy Seals,R,Action,1990,5.6,16000,Lewis Teague,Charlie Sheen,United States,20000000,25069101,Orion Pictures,20/07/1990
Graveyard Shift,R,Horror,1990,4.9,10000,Ralph S. Singleton,David Andrews,United States,10500000,11582891,Paramount Pictures,26/10/1990
The Sheltering Sky,R,Adventure,1990,6.8,12000,Bernardo Bertolucci,Debra Winger,United Kingdom,25000000,2075084,Recorded Picture Company (RPC),12/12/1990
Dark Angel,R,Action,1990,6.1,11000,Craig R. Baxley,Dolph Lundgren,United States,7000000,4348368,Vision PDG,28/09/1990
Mo' Better Blues,R,Drama,1990,6.6,12000,Spike Lee,Denzel Washington,United States,10000000,16153593,Universal Pictures,03/08/1990
"Welcome Home, Roxy Carmichael",PG-13,Comedy,1990,5.9,5000,Jim Abrahams,Winona Ryder,United Kingdom,20500000,3989297,Incorporated Television Company (ITC),12/10/1990
Bad Influence,R,Drama,1990,6.3,7700,Curtis Hanson,Rob Lowe,United States,7000000,12626043,Epic Productions,09/03/1990
Look Who's Talking Too,PG-13,Comedy,1990,4.7,45000,Amy Heckerling,John Travolta,United States,20500000,47789074,TriStar Pictures,14/12/1990
Rosencrantz & Guildenstern Are Dead,PG,Comedy,1990,7.4,21000,Tom Stoppard,Gary Oldman,United Kingdom,20500000,739104,Brandenberg,08/02/1991
Tales from the Darkside: The Movie,R,Comedy,1990,6.3,16000,John Harrison,Debbie Harry,United States,3500000,16324573,Paramount Pictures,04/05/1990
The Rookie,R,Action,1990,5.9,26000,Clint Eastwood,Clint Eastwood,United States,10000000,21633874,Warner Bros.,07/12/1990
Green Card,PG-13,Comedy,1990,6.2,23000,Peter Weir,Gérard Depardieu,France,12500000,29888235,Touchstone Pictures,01/02/1991
Metropolitan,PG-13,Comedy,1990,7.4,10000,Whit Stillman,Carolyn Farina,United States,230000,2960492,Westerly Films,03/08/1990
Europa Europa,R,Drama,1990,7.6,15000,Agnieszka Holland,Solomon Perel,Germany,20500000,5575738,Bayerischer Rundfunk (BR),14/11/1990
Cyrano de Bergerac,PG,Comedy,1990,7.5,23000,Jean-Paul Rappeneau,Gérard Depardieu,France,20500000,5822041,Caméra One,01/12/1990
Almost an Angel,PG,Comedy,1990,5.6,4200,John Cornell,Paul Hogan,United States,25000000,6939946,Ironbark Films,19/12/1990
Everybody Wins,R,Drama,1990,5.1,1100,Karel Reisz,Debra Winger,United Kingdom,19000000,1372350,Recorded Picture Company (RPC),19/01/1990
Truly Madly Deeply,PG,Comedy,1990,7.2,7600,Anthony Minghella,Juliet Stevenson,United Kingdom,20500000,1554742,British Broadcasting Corporation (BBC),24/05/1991
Havana,R,Drama,1990,6.1,7400,Sydney Pollack,Robert Redford,United States,40000000,9645440,Mirage Enterprises,14/12/1990
DuckTales the Movie: Treasure of the Lost Lamp,G,Animation,1990,6.9,26000,Bob Hathcock,Alan Young,France,20500000,18115724,Disney Television Animation,03/08/1990
The Russia House,R,Drama,1990,6.1,15000,Fred Schepisi,Sean Connery,United States,21800000,22997992,Pathé Entertainment,21/12/1990
Jetsons: The Movie,G,Animation,1990,5.6,4900,Joseph Barbera,George O'Hanlon,United States,20500000,20305841,Hanna-Barbera Productions,06/07/1990
White Hunter Black Heart,PG,Adventure,1990,6.6,11000,Clint Eastwood,Clint Eastwood,United States,24000000,2319124,Malpaso Productions,14/09/1990
Avalon,PG,Drama,1990,7.2,5900,Barry Levinson,Aidan Quinn,United States,20000000,15779578,TriStar Pictures,19/10/1990
Narrow Margin,R,Action,1990,6.6,8400,Peter Hyams,Gene Hackman,United States,20500000,10873237,Carolco Pictures,21/09/1990
Cadillac Man,R,Comedy,1990,5.7,14000,Roger Donaldson,Robin Williams,United States,20500000,27627310,Orion Pictures,18/05/1990
Taking Care of Business,R,Comedy,1990,6.5,8100,Arthur Hiller,Jim Belushi,United States,20500000,20005435,Hollywood Pictures,17/08/1990
Texasville,R,Drama,1990,6,2500,Peter Bogdanovich,Jeff Bridges,United States,20500000,2268181,Cine-Source,28/09/1990
The Guardian,R,Drama,1990,5.4,5300,William Friedkin,Jenny Seagrove,United States,20500000,17037887,Universal Pictures,27/04/1990
Repossessed,PG-13,Comedy,1990,4.8,8300,Bob Logan,Leslie Nielsen,United States,20500000,1382462,Carolco Pictures,14/09/1990
Fire Birds,PG-13,Action,1990,4.8,6000,David Green,Nicolas Cage,United States,22000000,14760451,Nova International Films,25/05/1990
Miami Blues,R,Comedy,1990,6.4,8000,George Armitage,Fred Ward,United States,20500000,9888167,Tristes Tropiques,20/04/1990
"After Dark, My Sweet",R,Crime,1990,6.6,3300,James Foley,Jason Patric,United States,20500000,2678414,Avenue Pictures,24/08/1990
Alice,PG-13,Comedy,1990,6.6,14000,Woody Allen,Mia Farrow,United States,12000000,7331647,Jack Rollins & Charles H. Joffe Productions,10/01/1991
Side Out,PG-13,Comedy,1990,5.5,1900,Peter Israelson,C. Thomas Howell,United States,6000000,20205757,Aurora,30/03/1990
The First Power,R,Crime,1990,5.7,3800,Robert Resnikoff,Lou Diamond Phillips,United States,10000000,22424195,Interscope Communications,06/04/1990
Delta Force 2: the Colombian Connection,R,Action,1990,4.9,6900,Aaron Norris,Chuck Norris,United States,20500000,6698361,Cannon Films,24/08/1990
Desperate Hours,R,Action,1990,5.4,7200,Michael Cimino,Mickey Rourke,United States,18000000,2742912,Dino De Laurentiis Company,05/10/1990
Cadence,PG-13,Drama,1990,6.5,5300,Martin Sheen,Charlie Sheen,United States,4000000,2070871,The Movie Group,15/02/1991
Brain Dead,R,Horror,1990,6,4100,Adam Simon,Bill Pullman,United States,2000000,1627955,Concorde Pictures,19/01/1990
The Hairdresser's Husband,R,Comedy,1990,7.3,9200,Patrice Leconte,Jean Rochefort,France,20500000,1217084,Lambart Productions,03/10/1990
Ernest Goes to Jail,PG,Comedy,1990,5.4,9000,John R. Cherry III,Jim Varney,United States,9000000,25029569,Silver Screen Partners IV,06/04/1990
Madhouse,PG-13,Comedy,1990,5.5,3000,Tom Ropelewski,Richard Alexander,United States,20500000,20205757,Orion Pictures,16/02/1990
A Cry in the Wild,PG,Action,1990,5.6,945,Mark Griffiths,Jared Rushton,United States,20500000,1494969,Concorde Pictures,01/06/1990
The Long Walk Home,PG,Drama,1990,7.3,3500,Richard Pearce,Sissy Spacek,United States,20500000,4873620,Dave Bell Associates,12/04/1991
Mountains of the Moon,R,Adventure,1990,7.2,3500,Bob Rafelson,Patrick Bergin,United States,19000000,4011793,Carolco Pictures,23/02/1990
Two Evil Eyes,R,Horror,1990,6.1,6400,Dario Argento,Adrienne Barbeau,Italy,9000000,349618,ADC Films,25/10/1991
Mr. & Mrs. Bridge,PG-13,Drama,1990,6.6,2800,James Ivory,Paul Newman,United Kingdom,20500000,7698010,Cineplex Odeon Films,18/01/1991
Trust,R,Comedy,1990,7.4,9400,Hal Hartley,Adrienne Shelly,United Kingdom,700000,357400,Channel Four Films,20/09/1991
Crazy People,R,Comedy,1990,6,4200,Tony Bill,Dudley Moore,United States,20500000,13236513,Paramount Pictures,13/04/1990
A Shock to the System,R,Comedy,1990,6.7,4500,Jan Egleson,Michael Caine,United States,12000000,3417056,Brigand Films,23/03/1990
The Boyfriend School,PG-13,Comedy,1990,5.8,2600,Malcolm Mowbray,Steve Guttenberg,United Kingdom,6700000,1171762,Hemdale,21/09/1990
Roger Corman's Frankenstein Unbound,R,Drama,1990,5.5,3600,Roger Corman,John Hurt,United States,11500000,334748,The Mount Company,02/11/1990
Nuns on the Run,PG-13,Comedy,1990,6,7700,Jonathan Lynn,Eric Idle,United Kingdom,20500000,10959015,HandMade Films,30/03/1990
Q&A,R,Crime,1990,6.6,5600,Sidney Lumet,Nick Nolte,United States,20500000,11207891,Regency International Pictures,27/04/1990
An Angel at My Table,R,Biography,1990,7.5,6900,Jane Campion,Kerry Fox,New Zealand,20500000,1055995,Hibiscus Films,20/09/1990
Stanley & Iris,PG-13,Drama,1990,6.4,7300,Martin Ritt,Jane Fonda,United States,23000000,5820015,Metro-Goldwyn-Mayer (MGM),09/02/1990
Flashback,R,Action,1990,6.2,5100,Franco Amurri,Dennis Hopper,United States,20500000,6488114,Paramount Pictures,02/02/1990
Men Don't Leave,PG-13,Comedy,1990,6.7,2400,Paul Brickman,Jessica Lange,United States,20500000,6070725,The Geffen Company,23/02/1990
Ski Patrol,PG,Action,1990,5.2,3400,Richard Correll,Roger Rose,United States,20500000,8533973,Epic Productions,12/01/1990
Ghost Dad,PG,Comedy,1990,4.4,7500,Sidney Poitier,Bill Cosby,United States,20500000,25421633,Universal Pictures,29/06/1990
Book of Love,PG-13,Comedy,1990,6.2,1100,Robert Shaye,Chris Young,United States,20500000,1382259,New Line Cinema,01/02/1991
Everybody's Fine,PG-13,Drama,1990,7.7,3700,Giuseppe Tornatore,Marcello Mastroianni,Italy,20500000,1745470,Erre Produzioni,31/05/1991
Spaced Invaders,PG,Adventure,1990,5.3,3300,Patrick Read Johnson,Douglas Barr,United States,3000000,15369573,Silver Screen Partners IV,27/04/1990
Meet the Applegates,R,Comedy,1990,5.5,2200,Michael Lehmann,Ed Begley Jr.,United States,5000000,485772,Cinemarque Entertainment,01/02/1991
Betsy's Wedding,R,Comedy,1990,5.6,3500,Alan Alda,Alan Alda,United States,20500000,19740070,Touchstone Pictures,22/06/1990
Def by Temptation,R,Horror,1990,4.7,1400,James Bond III,James Bond III,United States,20500000,2218579,Bonded Filmworks,11/05/1990
Heart Condition,R,Comedy,1990,5.6,3300,James D. Parriott,Bob Hoskins,United States,20500000,4134992,New Line Cinema,02/02/1990
Vincent & Theo,PG-13,Biography,1990,6.9,3700,Robert Altman,Tim Roth,France,20500000,2231274,Belbo Films,16/11/1990
Stella,PG-13,Drama,1990,6.2,2400,John Erman,Bette Midler,United States,20500000,20240128,The Samuel Goldwyn Company,02/02/1990
The Forbidden Dance,PG-13,Drama,1990,3.9,1500,Greydon Clark,Laura Harring,United States,20500000,1823154,21st Century Film Corporation,16/03/1990
Loose Cannons,R,Action,1990,4.9,4500,Bob Clark,Gene Hackman,United States,15000000,5585154,TriStar Pictures,09/02/1990
A Tale of Springtime,PG,Comedy,1990,7.2,4000,Éric Rohmer,Anne Teyssèdre,France,20500000,20554,Compagnie Eric Rohmer (CER),04/04/1990
To Sleep with Anger,PG,Drama,1990,7.2,2200,Charles Burnett,Danny Glover,United States,20500000,1161135,SVS Films,12/10/1990
Where the Heart Is,R,Comedy,1990,6,1500,John Boorman,Dabney Coleman,United States,15000000,1106475,Touchstone Pictures,23/02/1990
Love at Large,R,Comedy,1990,5.7,1200,Alan Rudolph,Tom Berenger,United States,20500000,1436308,David Blocker Productions,09/03/1990
Boiling Point,Not Rated,Action,1990,6.8,6300,Takeshi Kitano,Takeshi Kitano,Japan,20500000,20205757,Bandai Visual Company,19/11/1999
Downtown,R,Action,1990,5.7,1800,Richard Benjamin,Anthony Edwards,United States,10000000,2346150,Pacific Western,12/01/1990
Short Time,PG-13,Comedy,1990,6.4,2200,Gregg Champion,Dabney Coleman,United States,20500000,4010647,Gladden Entertainment,04/05/1990
American Ninja 4: The Annihilation,R,Action,1990,4,4600,Cedric Sundstrom,Michael Dudikoff,United States,20500000,358047,The Cannon Group,08/03/1991
Gate 2: The Trespassers,R,Fantasy,1990,4.8,2000,Tibor Takács,Louis Tripp,Canada,6500000,2032973,Vision PDG,28/02/1992
Lambada,PG,Drama,1990,3.5,979,Joel Silberg,J. Eddie Peck,United States,20500000,4263112,Cannon Films,16/03/1990
The Shrimp on the Barbie,PG-13,Comedy,1990,5.7,1200,Director,Cheech Marin,Australia,20500000,20205757,Unity Pictures,31/08/1990
The Last of the Finest,R,Action,1990,5.8,1200,John Mackenzie,Brian Dennehy,United States,12000000,1531489,Orion Pictures,09/03/1990
Opportunity Knocks,PG-13,Comedy,1990,6,2900,Donald Petrie,Dana Carvey,United States,20500000,11359129,Imagine Films Entertainment,30/03/1990
Funny About Love,PG-13,Comedy,1990,4.9,1300,Leonard Nimoy,Gene Wilder,United States,20500000,8141292,Duffy Films,21/09/1990
