Movie_Name,Rating,Genre,Year,Rating_Score,Votes,Director,Star,Country,Budget,Gross,Company,Release_date
Onegin,R,Drama,1999,6.8,7600,Martha Fiennes,Ralph Fiennes,United Kingdom,14000000,206128,7 Arts International,19/11/1999
Jin-Roh: The Wolf Brigade,R,Animation,1999,7.4,16000,Hiroyuki Okiura,Michael Dobson,Japan,20500000,94591,Bandai Visual Company,17/11/1999
Mumford,R,Comedy,1999,6.8,8900,Lawrence Kasdan,Loren Dean,United States,28000000,4555459,Touchstone Pictures,24/09/1999
Wing Commander,PG-13,Action,1999,4.3,16000,Chris Roberts,Freddie Prinze Jr.,United States,30000000,11578059,Centurion,12/03/1999
The Corruptor,R,Action,1999,6.1,18000,James Foley,Chow Yun-Fat,United States,25000000,24493601,New Line Cinema,12/03/1999
Snow Falling on Cedars,PG-13,Drama,1999,6.8,14000,Scott Hicks,Ethan Hawke,United States,35000000,23049593,Universal Pictures,07/01/2000
Music of the Heart,PG,Drama,1999,6.8,12000,Wes Craven,Meryl Streep,United States,27000000,14936407,Craven-Maddalena Films,29/10/1999
The Love Letter,PG-13,Comedy,1999,5.5,4200,Peter Ho-Sun Chan,Kate Capshaw,United States,20000000,9177355,Dreamworks Pictures,21/05/1999
The Bachelor,PG-13,Comedy,1999,5.1,17000,Gary Sinyor,Chris O'Donnell,United States,51000000,36911617,New Line Cinema,05/11/1999
In Too Deep,R,Crime,1999,6.3,6000,Michael Rymer,Omar Epps,United States,7000000,14011454,Dimension Films,25/08/1999
Black & White,R,Crime,1999,4.9,5600,James Toback,Ben Stiller,United States,12000000,5541431,Bigel / Mailer Films,05/04/2000
Crazy in Alabama,PG-13,Comedy,1999,6.2,6700,Antonio Banderas,Melanie Griffith,Germany,15000000,2005840,Columbia Pictures,22/10/1999
Lost & Found,PG-13,Comedy,1999,5.1,6200,Jeff Pollack,David Spade,United States,30000000,6552255,Alcon Entertainment,23/04/1999
The Piano Player,Not Rated,Romance,1999,7.8,7400,Rolf Schübel,Joachim Król,Germany,20500000,646532,Studio Hamburg Filmproduktion,21/10/1999
The Mod Squad,R,Action,1999,4.3,8800,Scott Silver,Claire Danes,United States,50000000,13263993,Metro-Goldwyn-Mayer (MGM),26/03/1999
Best Laid Plans,R,Crime,1999,6.1,7400,Mike Barker,Alessandro Nivola,United States,7000000,27816,Dogstar Films,14/05/1999
Play It to the Bone,R,Comedy,1999,5.5,12000,Ron Shelton,Woody Harrelson,United States,24000000,8678812,Play It Inc.,21/01/2000
Jakob the Liar,PG-13,Drama,1999,6.5,15000,Peter Kassovitz,Robin Williams,United States,45000000,4956401,Columbia Pictures,24/09/1999
Cradle Will Rock,R,Drama,1999,6.8,8900,Tim Robbins,Hank Azaria,United States,36000000,2986932,Cradle Productions Inc.,21/01/2000
Plunkett & Macleane,R,Action,1999,6.4,9700,Jake Scott,Robert Carlyle,United Kingdom,20500000,474900,Arts Council of England,02/04/1999
Breakfast of Champions,R,Comedy,1999,4.6,7600,Alan Rudolph,Bruce Willis,United States,12000000,178278,Flying Heart Films,18/02/1999
The Winslow Boy,G,Drama,1999,7.3,7500,David Mamet,Rebecca Pidgeon,United Kingdom,20500000,3957934,Winslow Partners Ltd.,29/10/1999
Liberty Heights,R,Comedy,1999,7,6500,Barry Levinson,Adrien Brody,United States,20500000,3736868,Baltimore Pictures,31/12/1999
The Color of Paradise,PG,Drama,1999,8.2,16000,Majid Majidi,Hossein Mahjoub,Iran,20500000,2777552,Varahonar Company,07/09/2000
Rosetta,R,Drama,1999,7.5,13000,Jean-Pierre Dardenne,Émilie Dequenne,France,20500000,293092,ARP Sélection,22/09/1999
Trick,R,Comedy,1999,7.2,8400,Jim Fall,Christian Campbell,United States,450000,2087228,Good Machine,23/07/1999
A Room for Romeo Brass,R,Comedy,1999,7.6,5500,Shane Meadows,Martin Arrowsmith,United Kingdom,20500000,19478,Alliance Atlantis Communications,04/02/2000
An Affair of Love,R,Drama,1999,7.1,5300,Frédéric Fonteyne,Nathalie Baye,France,20500000,401299,Artémis Productions,04/09/1999
The Loss of Sexual Innocence,R,Drama,1999,5.4,3100,Mike Figgis,Julian Sands,United Kingdom,4000000,164022,Newmarket Capital Group,07/01/2000
Aimee & Jaguar,Not Rated,Biography,1999,7.2,6200,Max Färberböck,Maria Schrader,Germany,20500000,927107,Senator Film Produktion,11/02/1999
The Out-of-Towners,PG-13,Comedy,1999,5.5,13000,Sam Weisman,Steve Martin,United States,75000000,28544120,Cherry Alley Productions,02/04/1999
A Map of the World,R,Drama,1999,6.6,4100,Scott Elliott,Sigourney Weaver,United States,20500000,570708,Cinerenta Medienbeteiligungs KG,21/01/2000
The Minus Man,R,Crime,1999,6.1,6400,Hampton Fancher,Owen Wilson,United States,20500000,370668,Shooting Gallery,08/10/1999
Terror Firmer,R,Comedy,1999,6.2,4900,Lloyd Kaufman,Will Keenan,United States,500000,20205757,Santa Monica Holdings,20/06/1999
8 ½ Women,R,Comedy,1999,5.8,3900,Peter Greenaway,John Standing,United Kingdom,20500000,437568,Woodline Productions,10/12/1999
The King and I,G,Animation,1999,4.5,3700,Richard Rich,Miranda Richardson,United States,25000000,11993021,Morgan Creek Entertainment,19/03/1999
Jesus' Son,R,Drama,1999,6.9,6900,Alison Maclean,Billy Crudup,Canada,2500000,1302067,Evenstar Films,07/07/2000
